[20:37:04.296] ======================================================================
[20:37:04.296] BTC 5m ARB SCANNER v3
[20:37:04.296] Threshold: YES_buy + NO_buy < $0.990
[20:37:04.296] Poll interval: 100ms
[20:37:04.296] Duration: 5 minutes
[20:37:04.296] ======================================================================
[20:37:04.450] CLOB API latency: 51.3ms (avg of 3)
[20:37:04.450] ⚠️  High latency — you're not co-located. Run from AWS eu-west-1 for <10ms.
[20:37:04.450] 
[20:37:04.450] Scanning... (Ctrl+C to stop)
[20:37:04.450] 
[20:37:04.472] 📊 Bitcoin Up or Down - March 24, 4:35PM-4:40PM ET
[20:37:04.472]    YES: 50479080100328806697...
[20:37:04.472]    NO:  13678910416501368810...
[20:37:04.472] 
[20:37:25.113] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
[20:37:25.238] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
[20:37:25.386] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
[20:37:25.494] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
[20:37:25.621] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
[20:37:25.759] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
[20:37:25.878] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.320 = $1.0300 | spread=$0.0300
[20:37:25.995] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.320 = $1.0100 | spread=$0.0100
[20:37:26.108] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.320 = $1.0100 | spread=$0.0100
[20:37:26.224] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.320 = $1.0100 | spread=$0.0100
[20:37:26.366] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.320 = $1.0100 | spread=$0.0100
[20:37:26.477] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.320 = $1.0100 | spread=$0.0100
[20:37:26.602] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.320 = $1.0100 | spread=$0.0100
[20:37:26.713] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.320 = $1.0100 | spread=$0.0100
[20:37:26.827] 🔄 SELL ARB | YES_sell=$0.690 + NO_sell=$0.330 = $1.0200 | spread=$0.0200
[20:37:26.937] 🔄 SELL ARB | YES_sell=$0.680 + NO_sell=$0.330 = $1.0100 | spread=$0.0100
[20:37:27.065] 🔄 SELL ARB | YES_sell=$0.680 + NO_sell=$0.330 = $1.0100 | spread=$0.0100
[20:37:27.181] 🔄 SELL ARB | YES_sell=$0.680 + NO_sell=$0.330 = $1.0100 | spread=$0.0100
[20:37:27.308] 🔄 SELL ARB | YES_sell=$0.680 + NO_sell=$0.330 = $1.0100 | spread=$0.0100
[20:37:27.429] 🔄 SELL ARB | YES_sell=$0.680 + NO_sell=$0.340 = $1.0200 | spread=$0.0200
[20:37:27.541] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.340 = $1.0100 | spread=$0.0100
[20:37:27.659] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.340 = $1.0100 | spread=$0.0100
[20:37:27.764] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.340 = $1.0100 | spread=$0.0100
[20:37:27.877] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.340 = $1.0100 | spread=$0.0100
[20:37:27.996] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.340 = $1.0100 | spread=$0.0100
[20:37:28.108] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.350 = $1.0200 | spread=$0.0200
[20:37:28.222] 🎯 ARB #7 | T+148s | YES=$0.650 + NO=$0.330 = $0.9800 | spread=$0.0200 | profit@5shares=$0.10 | poll=114ms
[20:37:28.222] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.360 = $1.0300 | spread=$0.0300
[20:37:28.337] 🔄 SELL ARB | YES_sell=$0.670 + NO_sell=$0.360 = $1.0300 | spread=$0.0300
